Group,ID1,ID2,TotalP1,TotalP2,TotalMax,TotalP1_v2,TotalP2_v2,TotalMax_v2,TotalGroup,TotalGroup_v2,SameWords,UniqueWords,SimilarityRatio,DiversityRatio,CollectiveBenefit,SimilarityRatio_v2,CollectiveBenefit_v2,CollectiveBenefitHard,TotalP1_r3,TotalP2_r3,TotalP1_r3_v2,TotalP2_r3_v2,TotalMax_r3,UniqueWords_r3,SimilarityRatio_r3,DiversityRatio_r3,Year
2105,g95IvUSeU,JHNjgStbK,24,23,24,0.5108706061683429,0.4956959285621976,0.5108706061683429,46,0.6885504846751578,8,39,0.9583333333333334,4.875,1.9166666666666667,0.9702964362738361,1.3477982024439776,1.1794871794871795,49,52,0.6228891001019888,0.6539163669430141,52,71,0.9423076923076923,2.3666666666666667,21
2106,k4nq6UVgp,C89Vecc2O,12,8,12,0.30862924771012,0.23436051653462078,0.30862924771012,12,0.2189865201139264,6,14,0.6666666666666666,2.3333333333333335,1,0.7593593875935695,0.7095455849978595,0.8571428571428571,11,12,0.16240082258577354,0.17384990735294922,12,20,0.9166666666666666,6.666666666666667,21
2107,FvVbmkBBD,Kn0cCaj4u,26,35,35,0.5401993905547414,0.6553607112648997,0.6553607112648997,34,0.5417685824002985,11,50,0.7428571428571429,4.545454545454546,0.9714285714285714,0.8242779606243292,0.8266723547626785,0.68,47,39,0.6013649359115053,0.5093325210364902,47,65,0.8297872340425532,3.0952380952380953,21
2108,FRYzZw1Ub,CttktEMMg,16,10,16,0.3804650836705213,0.2716514786880953,0.3804650836705213,36,0.5686643006280125,4,22,0.625,5.5,2.25,0.7139984464996073,1.4946556859879152,1.6363636363636365,58,40,0.7111601536895452,0.5212974035502336,58,64,0.6896551724137931,1.8823529411764706,21
2109,LAaCjd7tJ,qgw6bQkrN,16,11,16,0.3804650836705214,0.2902011393023695,0.3804650836705214,23,0.3817819811201456,4,23,0.6875,5.75,1.4375,0.7627536711192151,1.0034612833243974,1,21,13,0.28314375879277454,0.18547228833636212,21,29,0.6190476190476191,5.8,21
2110,FmEmWzqKK,39EyuAf1i,15,29,29,0.3628429349401448,0.5816231360536733,0.5816231360536733,34,0.5417685824002983,6,38,0.5172413793103449,6.333333333333333,1.1724137931034482,0.6238454291932791,0.9314770146115764,0.8947368421052632,39,35,0.5093325210364904,0.4604287930435459,39,51,0.8974358974358975,2.217391304347826,21
2111,5ynij1T9j,yWzDCLooF,26,10,26,0.5401993905547413,0.27165147868809497,0.5401993905547413,29,0.47108811072343043,4,32,0.38461538461538464,8,1.1153846153846154,0.5028726122943803,0.8720633880013468,0.90625,21,20,0.28314375879277465,0.27059319971583384,21,37,0.9523809523809523,9.25,21
2112,Ou8JAFgEb,HHU8djFwO,12,24,24,0.30862924771011996,0.5108706061683429,0.5108706061683429,25,0.41189292298081653,5,31,0.5,6.2,1.0416666666666667,0.6041241049762412,0.806256844703038,0.8064516129032258,23,30,0.308420196604055,0.3975650943836446,30,36,0.7666666666666667,2.1176470588235294,21
2113,zG9pawOo0,hldW6RvV6,22,15,22,0.48018535976396576,0.3628429349401448,0.48018535976396576,34,0.5417685824002983,6,31,0.6818181818181818,5.166666666666667,1.5454545454545454,0.7556309819993254,1.1282488551225378,1.096774193548387,52,39,0.6539163669430139,0.5093325210364902,52,63,0.75,2.25,21
2114,hOAe0tvv2,F8IRzqaD7,38,34,38,0.6878670421688127,0.643893997361399,0.6878670421688127,60,0.8127111793693675,20,52,0.8947368421052632,2.6,1.5789473684210527,0.936073336689066,1.181494576054883,1.1538461538461537,74,48,0.8313502221772684,0.61220849560734,74,86,0.6486486486486487,2.388888888888889,21
